"","Month","Tmin","Tmax","Chill_eff","Heat_eff"
"131",10,-18,23,0,5.99304794999245
"132",10,-18,24,0,6.31313772779292
"133",10,-18,25,0,5.58948838921486
"134",10,-18,26,0,3.83383249785475
"135",10,-18,27,0,4.05832447575451
"136",10,-18,28,0,4.03155928000169
"137",10,-18,29,0,2.52805797404469
"138",10,-18,30,0,2.6229798116506
"139",10,-17,-15,0,0
"140",10,-17,-14,0,0
"141",10,-17,-13,0,0
"142",10,-17,-12,0,0
"143",10,-17,-11,0,0
"144",10,-17,-10,0,0
"145",10,-17,-9,0,0
"146",10,-17,-8,0,0
"147",10,-17,-7,0,0
"148",10,-17,-6,0,0
"149",10,-17,-5,0,0
"150",10,-17,-4,0,0
"151",10,-17,-3,0,0
"152",10,-17,-2,3.14528826822494e-08,0
"153",10,-17,-1,6.95319563260179e-07,0
"154",10,-17,0,1.40035837810824e-05,0
"155",10,-17,1,0.000272417555852077,0
"156",10,-17,2,0.00512043254434154,0
"157",10,-17,3,0.0790190591759297,0
"158",10,-17,4,0.294430939730554,0
"159",10,-17,5,0.331612128467087,0.00909301138750721
"160",10,-17,6,0.306927513510609,0.0503894465732717
"161",10,-17,7,0.342713845170716,0.134554960554952
"162",10,-17,8,0.360181607526877,0.27043324173496
"163",10,-17,9,0.324693239132518,0.455579421951233
"164",10,-17,10,0.331246138864767,0.691850695711579
"165",10,-17,11,0.355877079907105,0.981441138475718
"166",10,-17,12,0.365459353965482,1.31944448147356
"167",10,-17,13,0.333401729477485,1.69855731462388
"168",10,-17,14,0.299117808639997,2.11089844106843
"169",10,-17,15,0.292237397155045,2.54926279675507
"170",10,-17,16,0.285059241637223,3.00654267592026
"171",10,-17,17,0.281934250840555,3.47517256899294
"172",10,-17,18,0.31107320537661,3.94724970622622
"173",10,-17,19,0.236752154306867,4.41434513045174
"174",10,-17,20,0.228462047669997,4.86808639936118
"175",10,-17,21,0.0968853284563997,5.30006270631831
"176",10,-17,22,0,5.7021294578821
"177",10,-17,23,0,6.0670694452749
"178",10,-17,24,0,6.38884414838353
"179",10,-17,25,0,5.66622942015221
"180",10,-17,26,0,3.91170062579614
"181",10,-17,27,0,4.13736044523383
"182",10,-17,28,0,3.93729298755325
"183",10,-17,29,0,2.53446685968869
"184",10,-17,30,0,2.70905554459415
"185",10,-16,-15,0,0
"186",10,-16,-14,0,0
"187",10,-16,-13,0,0
"188",10,-16,-12,0,0
"189",10,-16,-11,0,0
"190",10,-16,-10,0,0
"191",10,-16,-9,0,0
"192",10,-16,-8,0,0
"193",10,-16,-7,0,0
"194",10,-16,-6,0,0
"195",10,-16,-5,0,0
"196",10,-16,-4,0,0
"197",10,-16,-3,0,0
"198",10,-16,-2,3.47566715891538e-08,0
"199",10,-16,-1,7.18425458222245e-07,0
"200",10,-16,0,1.43929489464029e-05,0
"201",10,-16,1,0.000279408003731219,0
"202",10,-16,2,0.00525405714638627,0
"203",10,-16,3,0.0808908441538609,0
"204",10,-16,4,0.295082285645053,0
"205",10,-16,5,0.350238175830843,0.00937201357501548
"206",10,-16,6,0.324442182666653,0.0513119203309867
"207",10,-16,7,0.361131254412739,0.137779210040709
"208",10,-16,8,0.36472919566092,0.276058403992904
"209",10,-16,9,0.339698697534562,0.464107289311212
"210",10,-16,10,0.344911971436466,0.705368092846735
"211",10,-16,11,0.356545960663013,1.00055460046545
"212",10,-16,12,0.369721283493886,1.3437969442893
"213",10,-16,13,0.342948983260742,1.72771236252912
"214",10,-16,14,0.318611103799488,2.14486052957395
"215",10,-16,15,0.285322675111877,2.58847755994041
"216",10,-16,16,0.281155892921281,3.05140053849277
"217",10,-16,17,0.31010685107114,3.52596909954442
"218",10,-16,18,0.322896938454865,4.00390168917983
"219",10,-16,19,0.238692121532467,4.47656771460706
"220",10,-16,20,0.228457439494506,4.93525840622403
"221",10,-16,21,0.0969859965007686,5.3711913428618
"222",10,-16,22,0,5.77629349633422
"223",10,-16,23,0,6.14358563124945
"224",10,-16,24,0,6.46704618276692
"225",10,-16,25,0,5.74575068901297
"226",10,-16,26,0,3.99293734463691
"227",10,-16,27,0,4.22045491867041
"228",10,-16,28,0,3.8438093849712
"229",10,-16,29,0,2.61688827180781
"230",10,-16,30,0,2.80026763405953
"231",10,-15,-15,0,0
"232",10,-15,-14,0,0
"233",10,-15,-13,0,0
"234",10,-15,-12,0,0
"235",10,-15,-11,0,0
"236",10,-15,-10,0,0
"237",10,-15,-9,0,0
"238",10,-15,-8,0,0
"239",10,-15,-7,0,0
"240",10,-15,-6,0,0
"241",10,-15,-5,0,0
"242",10,-15,-4,0,0
"243",10,-15,-3,0,0
"244",10,-15,-2,3.57260637722162e-08,0
"245",10,-15,-1,7.4413272899573e-07,0
"246",10,-15,0,1.48025742689318e-05,0
"247",10,-15,1,0.00028741023612779,0
"248",10,-15,2,0.00541946710259796,0
"249",10,-15,3,0.0832479264670459,0
"250",10,-15,4,0.294929933658823,0
"251",10,-15,5,0.343587331851899,0.00966341109062363
"252",10,-15,6,0.322004643991673,0.0523464201989108
"253",10,-15,7,0.375073164317591,0.141207396933395
"254",10,-15,8,0.345463377651866,0.281880835606639
"255",10,-15,9,0.326402738068614,0.473296600551011
"256",10,-15,10,0.352906382892492,0.71997503842536
"257",10,-15,11,0.365663995493849,1.02072077451719
"258",10,-15,12,0.373623505581363,1.36914539875701
"259",10,-15,13,0.312370947806543,1.75792126192744
"260",10,-15,14,0.295340281762512,2.18028331191244
"261",10,-15,15,0.312001855116362,2.62962531134501
"262",10,-15,16,0.30246095278021,3.09868919233636
"263",10,-15,17,0.328700739896729,3.57956175103819
"264",10,-15,18,0.328750356919529,4.06357934713207
"265",10,-15,19,0.269971452860146,4.54189332863195
"266",10,-15,20,0.202294399861117,5.00528409497916
"267",10,-15,21,0.0970129974105681,5.44496123372739
"268",10,-15,22,0,5.85310750340225
"269",10,-15,23,0,6.22277264375517
"270",10,-15,24,0,6.54822676718722
"271",10,-15,25,0,5.82887597150147
"272",10,-15,26,0,4.07854589579148
"273",10,-15,27,0,4.30872065086709
"274",10,-15,28,0,3.75267582217469
"275",10,-15,29,0,2.71052221232327
"276",10,-15,30,0,2.89663657612721
"277",10,-14,-14,0,0
"278",10,-14,-13,0,0
"279",10,-14,-12,0,0
"280",10,-14,-11,0,0
"281",10,-14,-10,0,0
"282",10,-14,-9,0,0
"283",10,-14,-8,0,0
"284",10,-14,-7,0,0
"285",10,-14,-6,0,0
"286",10,-14,-5,0,0
"287",10,-14,-4,0,0
"288",10,-14,-3,0,0
"289",10,-14,-2,3.67027973944765e-08,0
"290",10,-14,-1,7.72105689945396e-07,0
"291",10,-14,0,1.53694828490351e-05,0
"292",10,-14,1,0.000297059424314969,0
"293",10,-14,2,0.00556524957625887,0
"294",10,-14,3,0.0852776852933539,0
"295",10,-14,4,0.299187400522615,0
"296",10,-14,5,0.346410150004609,0.00996720030528246
"297",10,-14,6,0.339234684636342,0.0535306061643001
"298",10,-14,7,0.353457941042834,0.144839100625468
"299",10,-14,8,0.364540646488644,0.28792180606897
"300",10,-14,9,0.345739365028662,0.483307783158336
"301",10,-14,10,0.373404542677514,0.73566892988657
"302",10,-14,11,0.379284733903295,1.04193036303811
"303",10,-14,12,0.348487231922129,1.39548011219597
"304",10,-14,13,0.338360319035816,1.78937663359936
"305",10,-14,14,0.328898858958067,2.21744541220682
"306",10,-14,15,0.308890517110691,2.6730343813559
"307",10,-14,16,0.329383301412245,3.14873831000823
"308",10,-14,17,0.338169097895914,3.63617297143649
"309",10,-14,18,0.33191466813073,4.12647901158667
"310",10,-14,19,0.266306647339765,4.61023841300363
"311",10,-14,20,0.181574810619438,5.07810085506784
"312",10,-14,21,0.0971181236272497,5.52153104349662
"313",10,-14,22,0,5.93276640965534
"314",10,-14,23,0,6.30513900422244
"315",10,-14,24,0,6.63326869459863
"316",10,-14,25,0,5.90552581871536
"317",10,-14,26,0,4.16966077807291
"318",10,-14,27,0,4.40259954643229
"319",10,-14,28,0,3.66473403059961
"320",10,-14,29,0,2.80956776176453
"321",10,-14,30,0,2.99812136737331
"322",10,-13,-13,0,0
"323",10,-13,-12,0,0
"324",10,-13,-11,0,0
"325",10,-13,-10,0,0
"326",10,-13,-9,0,0
"327",10,-13,-8,0,0
"328",10,-13,-7,0,0
"329",10,-13,-6,0,0
"330",10,-13,-5,0,0
"331",10,-13,-4,0,0
"332",10,-13,-3,0,0
"333",10,-13,-2,3.77887249310384e-08,0
"334",10,-13,-1,8.02351702508945e-07,0
"335",10,-13,0,1.58718934106047e-05,0
"336",10,-13,1,0.000305958641945174,0
"337",10,-13,2,0.00570355803561667,0
"338",10,-13,3,0.087153713890969,0
"339",10,-13,4,0.305425410680048,0
"340",10,-13,5,0.351288345825738,0.0102833774323926
"341",10,-13,6,0.337645375406023,0.0549049556790786
"342",10,-13,7,0.378065105365461,0.148673862194459
"343",10,-13,8,0.367312157718504,0.294298552688438
"344",10,-13,9,0.361467481747406,0.494311716892034
"345",10,-13,10,0.36158691506713,0.752443362740735
"346",10,-13,11,0.384519055791264,1.06417317809813
"347",10,-13,12,0.357490651588322,1.42287680394924
"348",10,-13,13,0.326327259753164,1.82234758614325
"349",10,-13,14,0.295207069130455,2.25667032609527
"350",10,-13,15,0.322106653122715,2.71908445666126
"351",10,-13,16,0.344863297031929,3.20178579530642
"352",10,-13,17,0.342774949415815,3.69606819031766
"353",10,-13,18,0.304080412403834,4.19255767868074
"354",10,-13,19,0.254024885430562,4.68152741596694
"355",10,-13,20,0.167322713137467,5.15386081250268
"356",10,-13,21,0.097484779762483,5.60111706177278
"357",10,-13,22,0,6.01580670869664
"358",10,-13,23,0,6.39163376852347
"359",10,-13,24,0,6.72335581343184
"360",10,-13,25,0,5.95474636751735
"361",10,-13,26,0,4.26664905219937
"362",10,-13,27,0,4.50217613296482
"363",10,-13,28,0,3.57929154858059
"364",10,-13,29,0,2.91393667124757
"365",10,-13,30,0,3.10441542608717
"366",10,-12,-12,0,0
"367",10,-12,-11,0,0
"368",10,-12,-10,0,0
"369",10,-12,-9,0,0
"370",10,-12,-8,0,0
"371",10,-12,-7,0,0
"372",10,-12,-6,0,0
"373",10,-12,-5,0,0
"374",10,-12,-4,0,0
"375",10,-12,-3,0,0
"376",10,-12,-2,3.89861182179576e-08,0
"377",10,-12,-1,8.32389861200431e-07,0
"378",10,-12,0,1.63743162842094e-05,0
"379",10,-12,1,0.000314623899727838,0
"380",10,-12,2,0.00584779628173591,0
"381",10,-12,3,0.0891021181939968,0
"382",10,-12,4,0.311957911181613,0
"383",10,-12,5,0.36241424180244,0.0106119385278526
"384",10,-12,6,0.346607635003048,0.0564854212939307
"385",10,-12,7,0.385502547433053,0.152711184490265
"386",10,-12,8,0.357001308815905,0.301167297496513
"387",10,-12,9,0.369210993514014,0.50640832727974
"388",10,-12,10,0.376099731360753,0.770291020159707
"389",10,-12,11,0.378999074098912,1.08743827793005
"390",10,-12,12,0.343231532081041,1.45153861990104
"391",10,-12,13,0.347800163274467,1.85715116902966
"392",10,-12,14,0.336260592829375,2.29833999376366
"393",10,-12,15,0.347040043207416,2.76809477855979
"394",10,-12,16,0.352227262882346,3.25811917379605
"395",10,-12,17,0.345352873402129,3.75929375312057
"396",10,-12,18,0.294432236344536,4.26173381143949
"397",10,-12,19,0.251633268126012,4.75589438673773
"398",10,-12,20,0.192180987459969,5.23280352395373
"399",10,-12,21,0.0979045199291955,5.68428680830109
"400",10,-12,22,0,6.10325274520925
"401",10,-12,23,0,6.48354283018139
"402",10,-12,24,0,6.81958934717784
"403",10,-12,25,0,5.97672753784821
"404",10,-12,26,0,4.36961644875411
"405",10,-12,27,0,4.60749728043384
"406",10,-12,28,0,3.49545359400088
"407",10,-12,29,0,3.02338352542218
"408",10,-12,30,0,3.21606429966356
"409",10,-11,-11,0,0
"410",10,-11,-10,0,0
"411",10,-11,-9,0,0
"412",10,-11,-8,0,0
"413",10,-11,-7,0,0
"414",10,-11,-6,0,0
"415",10,-11,-5,0,0
"416",10,-11,-4,0,0
"417",10,-11,-3,0,0
"418",10,-11,-2,4.00852840299524e-08,0
"419",10,-11,-1,8.63153433574747e-07,0
"420",10,-11,0,1.69174149208451e-05,0
"421",10,-11,1,0.000323827518250285,0
"422",10,-11,2,0.00600044404877096,0
"423",10,-11,3,0.0911387126745689,0
"424",10,-11,4,0.318688728695274,0
"425",10,-11,5,0.353292294342283,0.0109528794901099
"426",10,-11,6,0.3615135473488,0.0582720359872305
"427",10,-11,7,0.364332548994478,0.156950532230167
"428",10,-11,8,0.362488209544661,0.30870579402248
"429",10,-11,9,0.397061326549194,0.519607478864408
"430",10,-11,10,0.391441520726503,0.789203678674556
"431",10,-11,11,0.369775929357772,1.11176911268002
"432",10,-11,12,0.345679074393458,1.48176697425067
"433",10,-11,13,0.336042461296444,1.89416199976654
"434",10,-11,14,0.358996299742991,2.34287249818293
"435",10,-11,15,0.35937163604445,2.8203507479088
"436",10,-11,16,0.35579173458911,3.31791151958348
"437",10,-11,17,0.304776609643365,3.82576892691434
"438",10,-11,18,0.256172026492451,4.33411466111035
"439",10,-11,19,0.226991979071881,4.8336043222912
"440",10,-11,20,0.169390619445089,5.31553165439855
"441",10,-11,21,0.0669329383719849,5.77215004193524
"442",10,-11,22,0,6.19649545488463
"443",10,-11,23,0,6.58191575101882
"444",10,-11,24,0,6.92224268739445
"445",10,-11,25,0,5.97233992193085
"446",10,-11,26,0,4.47858397666332
"447",10,-11,27,0,4.71834343183478
"448",10,-11,28,0,3.41257588533696
"449",10,-11,29,0,3.13927838782667
"450",10,-11,30,0,3.33523705536094
"451",10,-10,-10,0,0
"452",10,-10,-9,0,0
"453",10,-10,-8,0,0
"454",10,-10,-7,0,0
"455",10,-10,-6,0,0
"456",10,-10,-5,0,0
"457",10,-10,-4,0,0
"458",10,-10,-3,0,0
"459",10,-10,-2,4.10553055461564e-08,0
"460",10,-10,-1,8.9676796813162e-07,0
"461",10,-10,0,1.75137516900708e-05,0
"462",10,-10,1,0.000333815621053502,0
"463",10,-10,2,0.00616389529800559,0
"464",10,-10,3,0.0932857743286665,0
"465",10,-10,4,0.327615005743519,0
"466",10,-10,5,0.366926593896292,0.0113061960602121
"467",10,-10,6,0.3816869037714,0.060264615250089
"468",10,-10,7,0.367461066583774,0.161391739326496
"469",10,-10,8,0.367913319460955,0.317118213007206
"470",10,-10,9,0.40451938247308,0.533903879608662
"471",10,-10,10,0.366056975217274,0.809172214742024
"472",10,-10,11,0.358190043801702,1.13737316030804
"473",10,-10,12,0.344992010626716,1.51392699213565
"474",10,-10,13,0.358297896139129,1.93383048380865
"475",10,-10,14,0.358508155816667,2.39058759588447
"476",10,-10,15,0.36493876104195,2.87614384093999
"477",10,-10,16,0.339612542815386,3.3811016398208
"478",10,-10,17,0.323520958331863,3.89556777992365
"479",10,-10,18,0.275135935744485,4.40999054664462
"480",10,-10,19,0.241338846230328,4.91529966572858
"481",10,-10,20,0.171862502948639,5.40325283559828
"482",10,-10,21,0.0713284545666964,5.86620226138044
"483",10,-10,22,0,6.29651509699263
"484",10,-10,23,0,6.68700832185018
"485",10,-10,24,0,7.03146159789783
"486",10,-10,25,0,5.94235632964285
"487",10,-10,26,0,4.59338712437872
"488",10,-10,27,0,4.83544236811095
"489",10,-10,28,0,3.33217126275545
"490",10,-10,29,0,3.26336677116411
"491",10,-10,30,0,3.46217551847563
"492",10,-9,-9,0,0
"493",10,-9,-8,0,0
"494",10,-9,-7,0,0
"495",10,-9,-6,0,0
"496",10,-9,-5,0,0
"497",10,-9,-4,0,0
"498",10,-9,-3,0,0
"499",10,-9,-2,4.20017701164681e-08,0
"500",10,-9,-1,9.34383165013633e-07,0
"501",10,-9,0,1.81822683051529e-05,0
"502",10,-9,1,0.000344845389074239,0
"503",10,-9,2,0.0063415236250662,0
"504",10,-9,3,0.0955745434579824,0
"505",10,-9,4,0.330732698916813,0
"506",10,-9,5,0.357003116649335,0.0116718838218623
"507",10,-9,6,0.38489136939097,0.0624629358850343
"508",10,-9,7,0.358554673551742,0.166092236345445
"509",10,-9,8,0.39619938251743,0.326592416723989
"510",10,-9,9,0.411639325535629,0.549291318281983
"511",10,-9,10,0.360197029263075,0.830212308155016
"512",10,-9,11,0.36516914372662,1.16459010372605
"513",10,-9,12,0.357548365584745,1.54846116703421
"514",10,-9,13,0.37985150811113,1.9765876652397
"515",10,-9,14,0.372804654114352,2.44183992218746
"516",10,-9,15,0.362200616950645,2.93547587325114
"517",10,-9,16,0.315072633414108,3.44772792970064
"518",10,-9,17,0.291445540421606,3.96900365575513
"519",10,-9,18,0.250784378368141,4.49004881723036
"520",10,-9,19,0.256153730112792,5.00230121437639
"521",10,-9,20,0.176387385121425,5.49756011052394
"522",10,-9,21,0.0598720131083864,5.96734267209771
"523",10,-9,22,0,6.40356959654528
"524",10,-9,23,0,6.79896472042326
"525",10,-9,24,0,7.14714550228663
"526",10,-9,25,0,5.88960706604359
"527",10,-9,26,0,4.71567395088946
"528",10,-9,27,0,4.9610399673544
"529",10,-9,28,0,3.26549858728675
"530",10,-9,29,0,3.39549459525241
"531",10,-9,30,0,3.59671929242761
"532",10,-8,-8,0,0
"533",10,-8,-7,0,0
"534",10,-8,-6,0,0
"535",10,-8,-5,0,0
"536",10,-8,-4,0,0
"537",10,-8,-3,0,0
"538",10,-8,-2,4.29174152324155e-08,0
"539",10,-8,-1,9.8204290624037e-07,0
"540",10,-8,0,1.89516656844681e-05,0
"541",10,-8,1,0.000357288036311662,0
"542",10,-8,2,0.00653812456211054,0
"543",10,-8,3,0.0980486958316274,0
"544",10,-8,4,0.331786885203371,0
"545",10,-8,5,0.356606972904738,0.0120499382014751
"546",10,-8,6,0.406529868732692,0.064866736047438
"547",10,-8,7,0.379336692896044,0.171236978205115
"548",10,-8,8,0.400980391253127,0.33718060371806
"549",10,-8,9,0.392700097524511,0.565762669297196
"550",10,-8,10,0.368254504160585,0.852520505859808
"551",10,-8,11,0.379989125184646,1.19384864944256
"552",10,-8,12,0.383169389747225,1.58589376601197
"553",10,-8,13,0.370881495879755,2.02281022273809
"554",10,-8,14,0.348510357819843,2.49675905730976
"555",10,-8,15,0.325931778739205,2.99835199748119
"556",10,-8,16,0.29951310339219,3.51812060236663
"557",10,-8,17,0.272598611316182,4.04681521818831
"558",10,-8,18,0.276626242384411,4.57574380827126
"559",10,-8,19,0.241754720846971,5.09628544726466
"560",10,-8,20,0.206676813372711,5.59926820409604
"561",10,-8,21,0.0624054404090193,6.07584472829395
"562",10,-8,22,0,6.51776703780945
"563",10,-8,23,0,6.91774377073619
"564",10,-8,24,0,7.2702580993558
"565",10,-8,25,0,5.81958792577785
"566",10,-8,26,0,4.84705160743617
"567",10,-8,27,0,5.07725871500738
"568",10,-8,28,0,3.32483195072401
"569",10,-8,29,0,3.53560491031946
"570",10,-8,30,0,3.73894126198667
"571",10,-7,-7,0,0
"572",10,-7,-6,0,0
"573",10,-7,-5,0,0
"574",10,-7,-4,0,0
"575",10,-7,-3,0,0
"576",10,-7,-2,4.37951075283386e-08,0
"577",10,-7,-1,1.04506685038134e-06,0
"578",10,-7,0,1.98652917126721e-05,0
"579",10,-7,1,0.000371687180441587,0
"580",10,-7,2,0.00676059347545114,0
"581",10,-7,3,0.1007694895488,0
"582",10,-7,4,0.325786208830514,0
"583",10,-7,5,0.339170537698305,0.0124434379535162
"584",10,-7,6,0.406763098372555,0.0674757152947537
"585",10,-7,7,0.35551136598488,0.177059139609515
"586",10,-7,8,0.410607864407809,0.348879894533479
"587",10,-7,9,0.401578998395683,0.583317892055406
"588",10,-7,10,0.377094918105131,0.876483570442496
"589",10,-7,11,0.377623999694568,1.22568445898028
"590",10,-7,12,0.382797328267309,1.6266711476623
"591",10,-7,13,0.384851915125333,2.07278883648034
"592",10,-7,14,0.331687964982156,2.55532850312576
"593",10,-7,15,0.324369038511912,3.06510903712051
"594",10,-7,16,0.296913022952076,3.59307801999505
"595",10,-7,17,0.29393511338548,4.13061239778132
"596",10,-7,18,0.262701595146466,4.66880908747208
"597",10,-7,19,0.273554070652928,5.19798880257507
"598",10,-7,20,0.21833360970708,5.70866497361038
"599",10,-7,21,0.0310123514128234,6.1917648595788
"600",10,-7,22,0,6.6394653865048
"601",10,-7,23,0,7.04530339818472
"602",10,-7,24,0,7.40305814994772
"603",10,-7,25,0,5.73657910119157
"604",10,-7,26,0,4.98745737090053
"605",10,-7,27,0,5.08320379968619
