"Season","End_year","Season_days","Data_days","Perc_complete","GDH","Frost_H"
"2000/2001",2001,46,46,100,6874.00508585437,3
"2001/2002",2002,46,46,100,3483.61080295721,54
"2002/2003",2003,46,46,100,5718.06622244488,13
"2003/2004",2004,46,46,100,4943.83830670587,55
"2004/2005",2005,46,46,100,5437.5550353704,33
"2005/2006",2006,46,46,100,6409.4104096294,72
"2006/2007",2007,46,46,100,6296.53702035575,16
"2007/2008",2008,46,46,100,6546.30917454429,2
"2008/2009",2009,46,46,100,6642.22387490491,35
"2009/2010",2010,46,46,100,6749.9597314077,8
"2010/2011",2011,46,46,100,6845.43975106825,3
"2011/2012",2012,46,46,100,6202.28053720004,75
"2012/2013",2013,46,46,100,7025.84825648239,6
"2013/2014",2014,46,46,100,4283.45766164444,53
"2014/2015",2015,46,46,100,3872.37070510059,74
"2015/2016",2016,46,46,100,4800.50511505175,43
"2016/2017",2017,46,46,100,4658.57541022368,15
"2017/2018",2018,46,46,100,6062.87860793411,47
"2018/2019",2019,46,46,100,4040.37565481919,62
"2019/2020",2020,46,46,100,8039.61835440714,0
"2020/2021",2021,46,46,100,7542.93445860292,36
"2021/2022",2022,46,46,100,9286.50810457557,35
"2022/2023",2023,46,46,100,6918.04032248817,3
"2023/2024",2024,46,46,100,5057.63945090026,20
"2024/2025",2025,46,46,100,5183.77767651877,44
"2025/2026",2026,46,46,100,7033.91009901906,6
"2026/2027",2027,46,46,100,6523.90159847424,39
"2027/2028",2028,46,46,100,6795.11147990148,2
"2028/2029",2029,46,46,100,8144.70433536335,2
"2029/2030",2030,46,46,100,5275.26438663271,20
"2030/2031",2031,46,46,100,4809.86039786274,19
"2031/2032",2032,46,46,100,4749.7530320643,9
"2032/2033",2033,46,46,100,5775.4381193032,11
"2033/2034",2034,46,46,100,7325.99480154458,7
"2034/2035",2035,46,46,100,5731.71355940914,36
"2035/2036",2036,46,46,100,6330.95541424723,8
"2036/2037",2037,46,46,100,4638.00902435184,49
"2037/2038",2038,46,46,100,5887.23796217563,10
"2038/2039",2039,46,46,100,2878.53214878542,44
"2039/2040",2040,46,46,100,4902.56073779427,11
"2040/2041",2041,46,46,100,5224.17794253258,66
"2041/2042",2042,46,46,100,6168.91665636748,34
"2042/2043",2043,46,46,100,6158.16774734622,25
"2043/2044",2044,46,46,100,7296.74687557528,11
"2044/2045",2045,46,46,100,5331.68203433463,21
"2045/2046",2046,46,46,100,4910.99504674925,22
"2046/2047",2047,46,46,100,6998.65307191527,7
"2047/2048",2048,46,46,100,7020.40671982197,16
"2048/2049",2049,46,46,100,5183.0899848952,36
"2049/2050",2050,46,46,100,7615.5452367086,21
"2050/2051",2051,46,46,100,3885.71354048187,18
"2051/2052",2052,46,46,100,3664.33544321591,17
"2052/2053",2053,46,46,100,5368.39111613948,5
"2053/2054",2054,46,46,100,5233.03388664313,18
"2054/2055",2055,46,46,100,6124.7832607897,8
"2055/2056",2056,46,46,100,7893.35641696444,5
"2056/2057",2057,46,46,100,6010.87426701607,19
"2057/2058",2058,46,46,100,7977.88164579822,1
"2058/2059",2059,46,46,100,6717.32715214323,5
"2059/2060",2060,46,46,100,6883.07292435877,2
"2060/2061",2061,46,46,100,4963.73223492503,18
"2061/2062",2062,46,46,100,6794.67817820236,3
"2062/2063",2063,46,46,100,5651.0671022702,49
"2063/2064",2064,46,46,100,3945.21555164037,77
"2064/2065",2065,46,46,100,7986.53346237913,7
"2065/2066",2066,46,46,100,7970.31081879279,13
"2066/2067",2067,46,46,100,5724.74706993066,12
"2067/2068",2068,46,46,100,8973.9705859907,8
"2068/2069",2069,46,46,100,6790.62283692043,9
"2069/2070",2070,46,46,100,5989.63716892619,44
"2070/2071",2071,46,46,100,5243.191051892,21
"2071/2072",2072,46,46,100,4489.97062321659,61
"2072/2073",2073,46,46,100,6054.05454423092,13
"2073/2074",2074,46,46,100,7293.65342877619,28
"2074/2075",2075,46,46,100,7924.39126062579,0
"2075/2076",2076,46,46,100,4025.16214106232,41
"2076/2077",2077,46,46,100,6011.43202182185,9
"2077/2078",2078,46,46,100,4567.45486657973,66
"2078/2079",2079,46,46,100,5950.21758248378,26
"2079/2080",2080,46,46,100,8034.04650380742,4
"2080/2081",2081,46,46,100,7066.35210944619,7
"2081/2082",2082,46,46,100,6613.81329532154,39
"2082/2083",2083,46,46,100,3668.8168994179,62
"2083/2084",2084,46,46,100,8385.96756515931,2
"2084/2085",2085,46,46,100,4225.64102348033,34
"2085/2086",2086,46,46,100,4656.4154370008,34
"2086/2087",2087,46,46,100,7285.59570909198,51
"2087/2088",2088,46,46,100,9062.11524615716,1
"2088/2089",2089,46,46,100,5942.75483505055,8
"2089/2090",2090,46,46,100,6714.56667845044,8
"2090/2091",2091,46,46,100,4532.18509673513,51
"2091/2092",2092,46,46,100,6619.05196879804,19
"2092/2093",2093,46,46,100,5834.59068611171,8
"2093/2094",2094,46,46,100,7385.9297367651,17
"2094/2095",2095,46,46,100,3061.38703771494,114
"2095/2096",2096,46,46,100,8899.26183666382,15
"2096/2097",2097,46,46,100,3444.8031006651,66
"2097/2098",2098,46,46,100,5385.4765681494,10
"2098/2099",2099,46,46,100,6530.5219237674,14
"2099/2100",2100,46,46,100,6851.32578435075,11
