"Month","Tmin","Tmax","Dynamic_Model","GDH"
10,-10,-5,7.12252942198263e-06,0
10,-10,-4,3.52107917448427e-05,0
10,-10,-3,0.000173762029767066,0
10,-10,-2,0.00085118126864774,0
10,-10,-1,0.00411409300586719,0
10,-10,0,0.0193095972590729,0
10,-10,1,0.0827308375811639,0
10,-10,2,0.265428083161418,0
10,-10,3,0.489594329068448,0
10,-10,4,0.528325420287226,0
10,-10,5,0.528993009187849,0.219351907525982
10,-10,6,0.590658446359143,1.16926173874265
10,-10,7,0.562039783057655,3.13411372541519
10,-10,8,0.599991713859712,6.16323400680664
10,-10,9,0.621168537707728,10.3842399963461
10,-10,10,0.60335319676322,15.7583321370137
10,-10,11,0.603470616906082,22.1852881551635
10,-10,12,0.608379437335775,29.5831280606325
10,-10,13,0.590329838506207,37.8626421977126
10,-10,14,0.575970331747694,46.9082866555136
10,-10,15,0.579389759958941,56.5744594243548
10,-10,16,0.527257809984267,66.6894965422703
10,-10,17,0.534498484501355,77.0692475811292
10,-10,18,0.472807610359593,87.5344524314873
10,-10,19,0.444548789243803,97.9130484182825
10,-10,20,0.37721980800905,108.046689360013
10,-10,21,0.383758776530385,117.786451988838
10,-10,22,0.29540238915826,126.98205437465
10,-10,23,0.0323079789055506,135.488164477472
10,-10,24,0,143.175377394205
10,-10,25,0,149.931414109238
10,-10,26,0,151.716273103782
10,-10,27,0,148.270055083994
10,-10,28,0,144.6324220485
10,-10,29,0,138.045710141084
10,-10,30,0,129.379992357381
10,-9,-5,7.9948583975292e-06,0
10,-9,-4,3.84976886019792e-05,0
10,-9,-3,0.000186820566431567,0
10,-9,-2,0.000904357615816996,0
10,-9,-1,0.00433143078977738,0
10,-9,0,0.0201795348622877,0
10,-9,1,0.0858810100101535,0
10,-9,2,0.2739183680475,0
10,-9,3,0.50180416190933,0
10,-9,4,0.543227247246923,0
10,-9,5,0.540322689453193,0.226483245802382
10,-9,6,0.61424078200246,1.21190557002607
10,-9,7,0.561840420636392,3.22566412067325
10,-9,8,0.623562935861031,6.34651106243955
10,-9,9,0.622558708767747,10.6834395880671
10,-9,10,0.60878757711544,16.1689004180913
10,-9,11,0.602614079022711,22.7170816947812
10,-9,12,0.610797983606011,30.2579692185873
10,-9,13,0.608488280299736,38.6989603327806
10,-9,14,0.593451926704342,47.9129904974192
10,-9,15,0.573278484403621,57.7418093671575
10,-9,16,0.540477887582051,68.0051673980095
10,-9,17,0.514607906411036,78.5244997915318
10,-9,18,0.486030538246792,89.1260449635115
10,-9,19,0.452204587636278,99.6474077818219
